id,x,y,deg
012_10,s0.3233314093910898190513418,s1.028411605957720071042158,s337.48862578089733688103
012_11,s1.390462706020761096688747,s1.798149203046144961605125,s293.87846520481434708927
013_0,s1.180805218800908463366529,s1.841681650876759413017560,s296.79028722999169076502
013_1,s1.316106554436610610158700,s1.159899539545722724321138,s290.11292262870813374320
013_2,s1.111519720144159679778216,s1.535008778969388220604236,s116.84693466072036471814
013_3,s0.7501677516682107730626663,s1.881561449725793222526632,s66.38946059847950209587
013_4,s1.518421738382793050042191,s0.7455553460170914192521378,s158.38667954548373018042
013_5,s1.858901020908780177294512,s0.8306614143543937264763267,s334.58307168144733623194
013_6,s1.988732094588437915344599,s0.3244721181903240658893358,s112.01845962579255910896
013_7,s0.2134825227108098133780580,s0.9063001501969806731133267,s288.65473787414362050185
013_8,s1.989925713419593433794829,s1.816577023041273468917944,s116.79033057449242960502
013_9,s0.2129946504250624983553149,s0.3491929898979002435326911,s294.87108545344312915404
013_10,s0.3271257696613787402963309,s1.416540079541380526808460,s20.82913498457673995290
013_11,s1.170145798626623466658341,s0.9470520902703440329918745,s107.50037808048301712915
013_12,s1.056988092725337632304649,s0.3364622326131361640498153,s114.87106923950767622955
014_0,s1.546491567928508108921132,s1.226674721039696566380762,s154.87546747333158236870
014_1,s1.356266003043869703341614,s0.2139726780943629105280552,s333.72561918504220557224
014_2,s1.001342763075934287946501,s0.3061607170304298270112724,s56.78499071569854095287
014_3,s1.988879549214602349134036,s1.129297428339184227297515,s202.20453291042520049814
014_4,s1.522441020799490113211533,s1.989215526786804525871630,s293.12661190463336424727
014_5,s1.983610757749755348917094,s0.2242166889949185529260371,s19.79769311254227659447
014_6,s1.113358183873719681525778,s1.713409179440457853807238,s253.67816908861721003632
014_7,s0.9368110827509696550820331,s1.348063609613298842404102,s200.00386245162849263579
014_8,s1.991969571127321758666597,s1.555407096901261698739128,s336.49310257229785747768
014_9,s0.6402919768234399899925673,s1.596653428168090295557693,s126.83503755222739073361
014_10,s0.3206554122219831326461242,s0.2132929067793002619926003,s23.62925794380885236023
014_11,s0.6980222775230249941101635,s1.905229428646107914253187,s300.63838178228286324156
014_12,s0.3207066946582949496012313,s2.099626421732130060024720,s156.39168889745315027540
014_13,s0.4075496905477726967911932,s1.021156086730678123904124,s240.12248554188920479646
015_0,s0.8196453823947269216796482,s2.065088674507523647224779,s293.62390089855011865438
015_1,s1.016150887789768975468117,s1.694811779115330596444865,s138.58983115508834771390
015_2,s1.467029103708772054857493,s1.298104668694426236184614,s98.90577363220040751912
015_3,s1.066330855480817512003674,s0.9106584916311046278952340,s196.96572350746612301009
015_4,s0.3206682874719422870796957,s1.313352983680501819539149,s23.62389687412104422037
015_5,s2.060782351960624661913961,s2.172449616773359426443326,s203.96561802528913176502
015_6,s0.7106855976858770992367333,s0.4217849761007109565724770,s238.18140760732717353676
015_7,s2.065102010394562954171706,s0.4586932885271216883552932,s336.37068150187451465172
015_8,s0.3354841143111897318550188,s2.172463132147862907539573,s203.62367370963238499826
015_9,s1.322422097734114942822379,s1.732724450434198404341447,s324.71520148759475432598
015_10,s0.3231154608644967285482575,s0.2313325802625943609923606,s22.60348207092732764067
015_11,s1.531540862812447974721310,s0.3206548019193241005760129,s246.37062387611626945727
015_12,s0.6797778073749556226648215,s0.7513129217968571078980356,s58.18150039559003516842
015_13,s1.602247654237224025031005,s0.8821467883451501243119517,s290.30809572875489266153
015_14,s1.987076958970441325276679,s1.373676033177840637162062,s23.95507285836396249579
016_0,s2.239148157081869827694070,s2.128158818337049362764184,s68.00329020801905244298
016_1,s0.2133187338028488089699140,s0.3209785298617215894426289,s246.50166426866962865461
016_2,s2.239237844424134360467955,s1.516233198233373514343712,s67.24560254871244069363
016_3,s0.2133339124932486202723758,s1.526127786726643349089704,s246.58315090197663721483
016_4,s1.107931348534454428121290,s0.8980760452851367636100012,s66.56409490212581658852
016_5,s1.090210312798518926159876,s0.3210447432367494080498983,s66.53029020095385703826
016_6,s1.333893925093368506501174,s0.3787687005283810705025172,s246.39420064967146117851
016_7,s1.104413070901786053028627,s1.484186994014332816799104,s66.58311911860653253825
016_8,s1.112799111482444620039562,s2.062719868549106427893026,s67.83723656570549565004
016_9,s2.239358849778753146618315,s0.9205723190211375659016641,s66.51932660637550043248
016_10,s1.355647993393346226223135,s2.128140079942690758959084,s248.01148271858235716536
016_11,s1.351252152297357540589353,s0.9560872696952867257316710,s246.51932834431804053565
016_12,s2.231000265390222784337508,s0.3201542426519794224314158,s66.16584318074683324085
016_13,s1.349255622397845834136889,s1.544128958397114503727979,s247.24630628540853649611
016_14,s0.2133303481694455216969269,s0.9492603903267412764468555,s246.56409493776379804331
016_15,s0.2135165468867238764033590,s2.102878849939427045109200,s247.84024594251468442963
017_0,s0.3751594108821720775943404,s1.671148023898366685870053,s27.73355960944041953553
017_1,s2.185518433232566026751278,s0.8461201443006217069541301,s336.01179582490669872641
017_2,s1.147678531401290499796110,s0.3206567590606866469142016,s113.62868838899464662973
017_3,s1.717606581013804203381925,s2.185360793862244754851289,s291.61118071630266967986
017_4,s1.780226780847631105841043,s1.087607903308656575477019,s129.80706091724874795545
017_5,s0.7873517319766558422113696,s0.6306038637304031805703952,s69.41528499729076884250
017_6,s1.457777281432161442896102,s0.4528889620591383280401264,s235.52050952000013239740
017_7,s1.205840738833703163494828,s2.304510583288203395823846,s174.52150375142537086504
017_8,s2.013053139606642686421190,s1.347226621731473509455761,s30.17639859362606102877
017_9,s0.7695097373956055900723247,s1.379774638368084926728596,s345.35150196720474014001
017_10,s0.2135834269873671586948996,s1.249635791159139576761258,s248.72829859411490360799
017_11,s1.415799998526332156354570,s1.423548502326885096749142,s354.52145242642188804894
017_12,s0.3206567403767326240894886,s0.2132928574366117630036326,s23.62950885832043468326
017_13,s2.303433864121778640307371,s0.3069822742098750840640586,s55.51986944525253875327
017_14,s0.7327894303815946197521558,s2.189790656189199191668692,s66.34625554942437020145
017_15,s2.190102017769153652788512,s1.772701631430333711888226,s336.37075096595083323336
017_16,s1.178455079040910497552841,s1.244407867606934515371905,s173.75737054288447325234
018_0,s0.2132935421912975888401606,s0.3206553280923055413450986,s246.37050943551616910554
018_1,s2.201626058444909197958719,s1.712666148873887595042793,s337.82552642278596977121
018_2,s1.186043144460195890699938,s0.6809949769987045479870542,s305.23958012773573500453
018_3,s0.7170232456900267531700626,s0.6357993281416177142050497,s217.36829154371378081123
018_4,s0.4094871950214582404743913,s0.6940231558729954661025518,s30.75649077696687072603
018_5,s2.371079082043447794738384,s1.203702570376969587560260,s116.10874911629571215599
018_6,s1.750195051892478243263303,s0.5476407472551408936626411,s293.60438235652634375583
018_7,s0.9352916443111583032381320,s1.750770753866706677621131,s116.97632002313315524589
018_8,s1.970327867124243231304179,s1.433053250186800162394332,s76.24176517089409799155
018_9,s1.071593060635260154682053,s1.306758877185694833409259,s258.38249646590725205897
018_10,s1.079442686819863840350880,s2.126936531096534834113543,s304.81462166478058861685
018_11,s0.7695013167485320817744600,s2.254120800721279671106199,s70.31919990391577357514
018_12,s2.260553604709623876531757,s0.2132518944656550533987499,s336.17752984508069857839
018_13,s1.749547718237374718530982,s1.997038928041513324791506,s116.30455993025975658384
018_14,s1.862900356985770736891070,s2.220413371910558807465072,s296.15431501977377592993
018_15,s0.8281337127881929913991038,s1.158489902097619772175822,s76.55048277503038889336
018_16,s1.355670542960946677042640,s0.3209004333892628011394796,s246.47151588772862851329
018_17,s0.3212769096637335066865761,s1.804755006032555679158142,s23.67794300198443124827
019_0,s0.2733721258490306060954051,s1.687899694065951807097539,s321.35802111516647983080
019_1,s1.584307704674869063302537,s1.977553973740088031432424,s140.59290822309543500523
019_2,s1.982695733237299135420721,s0.9004542843390640049093515,s107.38649794242581947401
019_3,s1.872752282176546928020140,s1.491202727999145633359710,s136.46499982115602733757
019_4,s0.3208311400511574431747922,s0.2132901396083341866375877,s23.64313398031674751110
019_5,s0.7666883043373436184756307,s0.6784585023301633611264879,s69.22628408237721941987
019_6,s2.474401686412028578102846,s2.243508385208461630695238,s56.69894153773770995031
019_7,s1.711133864293858367079829,s0.3333154769159773498473367,s65.88350365484257054050
019_8,s0.2135542903825828092746773,s1.303065367294458039194458,s248.25713256107690085628
019_9,s2.133142290952697343353368,s1.742021874736913719765276,s16.63989607733833508973
019_10,s2.354667807625806892333377,s0.8943928993698253615529701,s201.04873776219653791486
019_11,s1.054441104081828155440557,s2.275841591396227192104947,s141.36169592256192117929
019_12,s0.8508504593306037346582074,s0.3270012940257248589930614,s245.87356011587644388783
019_13,s1.036648061171234999622487,s0.9624812281184238294528864,s316.12393126191739156639
019_14,s0.8002389693514979525089505,s1.429286088564469094987222,s321.36089916248499775975
019_15,s1.672148909537977983915237,s2.344190890407186600428795,s64.96415809672964769561
019_16,s2.237711275561521251311814,s1.226087592236809110986711,s326.20076149499823259248
019_17,s1.992230469640574241947586,s0.4039775535707687936104149,s239.67050674783990871219
019_18,s0.2132924047929458777507697,s2.362052267927084914200280,s293.63185138493827253114
020_0,s0.3219963296845013973166819,s2.020147851800954134876847,s203.075450438426401
020_1,s1.604408148566406343235767,s1.167008519204802677225111,s30.309591796498012
020_2,s0.7567377442266240337068859,s0.6891763768343403940479648,s70.784775122283349
020_3,s0.9152933630241204858091882,s1.961206099464845926653729,s205.109870966427707
020_4,s1.103580802235372468185294,s0.7797812717006141824758457,s264.956420812849046
020_5,s0.2412559009677387363155261,s2.390221264395540320426924,s294.484239500759827
020_6,s1.188396596907422984119490,s2.417884399141937708049010,s107.544906479093811
020_7,s2.430275457395510003367842,s1.198664177562150757345258,s203.681930492902325
020_8,s2.049598931306542245358657,s1.594037591889354444751113,s74.840625379890525
020_9,s0.3352460997248910833236404,s1.133318156317868095063364,s24.240386610809139
020_10,s0.3207733379200497696409943,s0.2186592502323907855860666,s23.581026401025497
020_11,s2.531033876486584672058558,s2.425981924737781652797090,s68.488685978188983
020_12,s2.141167093685500066314486,s2.194780725890386292022367,s115.261052826755531
020_13,s0.9640143826554676686246740,s1.078819142742406544886634,s25.110175032043344
020_14,s2.539713098955271525149939,s0.3732577755127805750942136,s117.812013169195325
020_15,s1.627268439821989505611197,s2.526464961346700169142401,s154.507182581733787
020_16,s1.861665153020451951223979,s1.082684204635909522007624,s212.421970794134609
020_17,s0.8432307800642086544609773,s0.3206843048873796231379768,s246.368344114722277
020_18,s1.880214886670135861837232,s0.3696035438035204769845056,s84.956452989892568
020_19,s2.412396503485001658293555,s1.614743528584079549871629,s334.912131456894940
021_0,s1.141934417820425608282584,s0.8899530146743783305161151,s359.90457771560227229202
021_1,s0.3206292803541665348261638,s2.538518333659736739471501,s203.63990737269386954722
021_2,s0.3220254899600848874605558,s1.660519880010206936419120,s23.73655313714118619828
021_3,s2.486534671275589847386286,s1.239859607253628853683101,s335.85893805623823027418
021_4,s0.6058555343856400681771442,s1.199227593579552263262619,s314.95398943306190631120
021_5,s2.466282020244462633274255,s2.090147192554535715580244,s334.75184751185565801279
021_6,s2.522659272820145341829590,s0.7012657065407717639271083,s43.78865914875535736428
021_7,s0.7301996713179541661866954,s0.7676592458458543174974671,s199.16277816860701932455
021_8,s1.768408744452807900225678,s1.469881773510701208564642,s283.42891040358767895668
021_9,s1.703866984049819927131672,s2.522261867527816958734080,s123.61833295788693476425
021_10,s1.358254866218580132378057,s1.935637463054523858191296,s189.53685496019056699879
021_11,s1.973488060990282081456269,s0.4118758723036134369532199,s358.52515612916636200680
021_12,s2.600429767350944665270626,s0.3206783081058560580534778,s113.63119463963266753126
021_13,s1.979195796539925751348688,s2.486784105829518468789601,s294.11803398256984110049
021_14,s0.2698932860954284474698438,s0.3208350549613594615497225,s246.44424121762062895868
021_15,s0.9744045055546847167728123,s2.122227921587503125152702,s145.86437504640156248570
021_16,s1.810128009479998044933371,s2.091984677816297945773142,s237.76994708731967875792
021_17,s0.3206652803650376026819039,s1.090880064296743756180087,s156.36982386445083648141
021_18,s1.173804616578540542427822,s0.3555574853165543559421131,s249.29086938540626761096
021_19,s0.7772741737963280496749199,s2.492808232182083960662030,s293.64962688903415255481
021_20,s1.603893011331968463620840,s1.130832090842512672368130,s178.53722376466816967877
022_0,s0.3220744509475278137995636,s2.012676735019926053609178,s23.042801696956186
022_1,s1.142086064729585854013519,s0.3809749043243422588403647,s14.644659402405239
022_2,s0.5815938300153314033191030,s0.5950284364010503651682336,s339.96260617271423
022_3,s1.114759521338260137860367,s1.832853482473843992109278,s137.84373331601148
022_4,s1.606252510429058109043697,s0.7006535004528942123005873,s312.6440959554027
022_5,s0.7219950254955395730111062,s2.545655178088303852689319,s64.48782443118444
022_6,s2.029084744627088746545713,s2.570897628776312999023391,s293.594135778128
022_7,s1.202680511168282998422629,s1.370782267419942377174262,s189.13020272394488
022_8,s2.327239506526445860136255,s0.8226731509243397396311646,s157.16042128699542
022_9,s1.800683229695716637245376,s0.3223157580433126309138193,s113.75926495349017
022_10,s0.8379026229978593567758355,s2.324133721628254269502428,s244.49185222359995
022_11,s2.516910902774922258783957,s2.184443805952100153763726,s332.06886251593687
022_12,s0.2132925262139428907585596,s0.3206778591382533691461177,s246.3688405316052
022_13,s0.3232495000240665940664411,s1.178695340230068260291756,s157.4537005297093
022_14,s2.107324288456511508906163,s1.509924305826063882163927,s124.74437675095669
022_15,s1.575573125250810077884279,s2.567479894778491974898349,s66.09641472268515
022_16,s1.677571840040947834980016,s2.259916022128808485575286,s249.34568028035733
022_17,s2.678346043716327938599166,s0.3206551941923738527841888,s113.6293258823879
022_18,s2.569080151158633335984981,s0.9378319732101370677611734,s337.16060793727684
022_19,s0.3111170065457512700947781,s1.481356416324287854282951,s317.1386226042638
022_20,s1.463820007872462614631701,s1.568819725838204136268563,s304.74436096544014
022_21,s2.557527349897884986138478,s1.865824497479124949930343,s162.54955800291899
023_0,s1.769275414543238811659113,s1.168483831044139682641278,s211.54995377569866832346
023_1,s0.4649239364456792143256660,s1.800834217121849386770561,s144.46814733080663017972
023_2,s1.868471714027811060908595,s2.466244829453220001258978,s55.85829936687582630839
023_3,s0.6941794716476422872922210,s2.109188853471782212906836,s273.81764191185186518851
023_4,s0.3298923231779221516613167,s2.102424928745122183581521,s23.61341408740292990842
023_5,s1.094742426997113577688873,s0.3322026480667242543588607,s114.53524603045627827669
023_6,s0.2127434748001919533053005,s0.8811759797894200139409443,s285.42427398959443962667
023_7,s1.217463572298021390334495,s0.9227471394128611235080418,s106.95159148938716953126
023_8,s0.9292231044010843007854043,s1.415650413188756115324079,s103.97581570560720365393
023_9,s1.007211477075722426735203,s2.625416371844194168184863,s236.13066198678916407516
023_10,s2.595842163029148341586845,s0.2132917167135055941765117,s336.36413371943115180329
023_11,s1.639712295712296908393065,s1.830782865699082730588828,s85.92521928806780806553
023_12,s2.589006262546482650511072,s2.119853471624529271058189,s339.37820314684267941630
023_13,s2.183601488386636901818207,s2.595902602245986434748842,s293.61992929627228932077
023_14,s2.114687261086307607551828,s0.2244166096614225475468604,s39.88060376503108273027
023_15,s2.595776103188597838466130,s1.262520626915070824463564,s336.35896962417109534726
023_16,s1.517442438670927459400253,s0.2047010323661657249303102,s3.95894258322670111738
023_17,s1.946511310353670402315251,s2.217460264478515300333868,s232.34708388183980787289
023_18,s1.482568310061784741802789,s1.239554884124629878531565,s42.46412830852852948738
023_19,s2.473479546849144850564361,s0.7532425121975484571560514,s31.36140386691363346472
023_20,s0.7290802986004653372205007,s2.587276559072954551539491,s65.69271098107577699921
023_21,s1.875919319877694542950897,s1.605986456037447584168297,s276.27526471547230357828
023_22,s0.2125723825015439798223874,s0.3141005393390371436773278,s296.17775385630011442117
024_0,s2.256215108147525530170283,s2.150007311612098276188620,s83.50446280809524068900
024_1,s1.102370015649890509788095,s2.508717932095111891017840,s304.92240737173335674015
024_2,s0.7864920519424465432941919,s0.7432566113610363891093016,s352.45986094576926461741
024_3,s0.3206550669360116900790357,s0.7792276112995244273151473,s156.37062220820735092275
024_4,s2.037176715631627948225139,s1.166809477960314985899166,s335.56855903032010246534
024_5,s2.427943010196033136794924,s0.8753137989473496745945388,s156.40835726840623465250
024_6,s0.8012189249847342628103839,s2.255107905317061262260538,s173.96785527296663076413
024_7,s0.3213681409015241907643648,s2.234077731538449373956639,s23.68513354529642356283
024_8,s0.8011327342714181312039899,s2.645563203825309789600377,s66.51228837661182069496
024_9,s2.234874249802039726117823,s2.641501272730429628052137,s293.98437069102396890230
024_10,s2.645945776847795372088596,s1.871783199448265581982172,s156.40756884184247610392
024_11,s2.754446049179658354416873,s0.3633533354844465379673824,s117.01293595234443500885
024_12,s1.955380505502365429104573,s2.674067967373790072804061,s124.90277024360358382182
024_13,s1.520604519639812843174556,s1.484263806917299943880184,s293.46477323527574299078
024_14,s2.645945875145029280184775,s0.9983500175363605355528648,s336.40752846568193490384
024_15,s0.2879708436898651413537959,s1.941158317996570173492964,s214.63656220927487083827
024_16,s1.173879769079721580897893,s1.990705017663758371890908,s269.61444344544406703790
024_17,s0.4561365874223506497801160,s1.083704017080964907013351,s34.64629893070775779051
024_18,s1.796692258037632633047889,s1.052223179972259386582866,s152.44351143611777388287
024_19,s1.299578700985042493996341,s1.094739754444523935309460,s32.58379091271399374818
024_20,s1.774009842608612430561095,s0.2120079449229763240546072,s332.44399654033372826234
024_21,s1.218954533234852165597122,s0.2040404114589880246722427,s356.65042236995952862344
024_22,s0.7878670247719623811442021,s0.3278778760430908374293031,s114.19483021078218598632
024_23,s2.598182488053420139902783,s2.134669390511705329531964,s333.48670336580153161776
025_0,s0.7309888247059470822740713,s2.726074011214400123577479,s66.02685862431042096432
025_1,s1.730070750944502456424526,s0.2096850782430988685531140,s350.43070863841558093554
025_2,s2.839954496203037592757609,s2.732592216648025917891960,s66.37066275075738985834
025_3,s0.7196561536270607240035361,s0.6946427872630870197056028,s64.10162765304045251469
025_4,s2.446289491469233472456739,s1.397548455671960523730793,s109.92156773456582641302
025_5,s2.702699085698703403717353,s0.6458914546795600471995063,s1.68752560450241162471
025_6,s2.687483916288686562108191,s0.3206550921859225633511708,s113.62937944792304278963
025_7,s1.524994245567611289364990,s1.445437858919032974047281,s329.97539982846865314059
025_8,s1.075128438219846902207024,s0.8975936593944367909549289,s202.77382429850877088029
025_9,s1.506157635813506387582094,s2.302307167685388152730449,s260.85980651999807378161
025_10,s2.698886250742592013026403,s1.792328139053854121480438,s206.29234523666696077271
025_11,s1.315467280004828836656953,s1.894327514706765753126904,s67.32919157876079907510
025_12,s1.205950255629561538594115,s2.497734315492424758680934,s110.91313207180945710206
025_13,s1.120837533999453060764447,s1.408162693217730198662900,s122.62269628250595587815
025_14,s0.7927753359379510795947638,s0.3651373055352132359042027,s242.84360232612289109966
025_15,s1.933904179732384259691252,s2.729398786098450650309992,s219.28996368072284894879
025_16,s0.3258641595965090010081558,s0.2135770096881758673246543,s21.40247964095050292599
025_17,s1.621593516256421070733933,s1.143906416980392408105795,s165.36881188874212966766
025_18,s2.227657617589094465248569,s1.956221677885126823604774,s149.95929173683879298551
025_19,s0.6845576396397730301104983,s1.685073874588920825907786,s58.83682614450276560092
025_20,s0.3206578860852697665508142,s2.245423002318599621801968,s23.62959779118079950422
025_21,s1.597282710657299369194666,s2.728351836706215127751899,s66.03870443304145965158
025_22,s2.730023615471581278362854,s2.061524650474136858003228,s33.36275366223895844087
025_23,s2.210208859752618200460638,s0.9318591867623471358935865,s170.44872903472332836827
025_24,s0.3363369948488496701761605,s1.185121516744345602431551,s23.68517153399056951457
026_0,s1.957598999856137145509298,s2.052752347071662260351321,s321.98217345687953638844
026_1,s0.8240811250866582204454294,s1.743489500414736140182352,s291.82823623416584268853
026_2,s2.444532187248113808627944,s1.650205697080862437821715,s3.85266788275231419902
026_3,s2.805517477947644389750206,s1.994947676414339795421704,s336.37081631864612063509
026_4,s0.9469926029071581835479004,s0.3207012266985812310109007,s246.36694005521417238924
026_5,s1.022010556984737025358229,s1.341749738621559454543768,s131.42199330938296952809
026_6,s0.3282206449677591176664992,s1.080247596429986420257273,s24.22215107706574599433
026_7,s0.3301420937955321452716268,s1.943140736981305847493030,s204.22218828160043813114
026_8,s1.725932299621077834511317,s2.804218656200708357370792,s66.26909581356591161239
026_9,s2.388409128827599459576153,s0.6473484981398159268599594,s77.07786243770425471666
026_10,s1.513680503550270933921819,s2.244449540251056451145113,s36.16757947356575186859
026_11,s1.858600322616978393783449,s1.705075995961543749602707,s213.38025693497979773383
026_12,s1.335740315255311620166979,s1.421266163778130939980351,s332.93158404153064111597
026_13,s2.805517806711211899395079,s0.7045556537945340387228462,s336.37068222306152165402
026_14,s0.4655645267091959263929353,s2.317433803597292724501503,s258.95960862615788755647
026_15,s1.164659568327924836301384,s0.8791355262079227994391794,s215.19745515666318169679
026_16,s2.757296987968063597230158,s0.3249267070038026761243084,s113.96381169112083853179
026_17,s2.482105351099140663219366,s1.193914484891124588357844,s312.67790480730832314293
026_18,s0.7671450810854057505386233,s2.864848831673023815644135,s213.21894277008334483980
026_19,s0.3232403129681665989448320,s0.2132501843771833603092424,s23.83162286207851821018
026_20,s1.626425690773111548356240,s1.143154585333506202992888,s255.93584290743478959484
026_21,s2.794911993694237395509132,s2.912668359496697555155072,s161.16638869164023617486
026_22,s2.258447962253695381042445,s2.909503660627932570384452,s141.75304534233691811096
026_23,s0.8285476643252193702870717,s0.5580670743107763922225641,s67.22424977173932347796
026_24,s1.950991135786515408094003,s0.2241062105959868409905094,s38.32656449220689864887
026_25,s0.3291375924071121401608499,s2.912586603180579952617259,s160.11759559648521644704
027_0,s0.8336633232279281409157903,s2.872805392868734170733534,s66.366139699420501
027_1,s1.353726172093663331587676,s2.198256249273395022565708,s45.365958259438166
027_2,s1.071512866503053628137214,s1.044562048116877648976969,s116.102053450784297
027_3,s1.378958904383968899885439,s0.7223178567016157405562358,s298.677254493573173
027_4,s1.354178087103970786944763,s1.213745818258559641328460,s5.807523019798793
